movies,genre,release_year_start,release_year_end,rating,one-line,director,stars,votes,runtime,gross_in_dollars
The Kominsky Method,Comedy,2018,2021,8.2,"
An aging actor, who long ago enjoyed a brush with fame, makes his living as an acting coach.",TBD,"Michael Douglas, 
Sarah Baker, 
Graham Rogers, 
Melissa Tang
",33440,30.0,855000.0
Homeland,Crime,2011,2020,8.3,"
A bipolar CIA operative becomes convinced a prisoner of war has been turned by al-Qaeda and is planning to carry out a terrorist attack on American soil.",TBD,"Claire Danes, 
Mandy Patinkin, 
Damian Lewis, 
Rupert Friend
",322307,55.0,675000.0
Riverdale,Crime,2017,Ongoing,6.8,"
While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries.",TBD,"K.J. Apa, 
Lili Reinhart, 
Camila Mendes, 
Cole Sprouse
",126112,45.0,675000.0
Sherlock,Crime,2010,2017,9.1,"
A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.",TBD,"Benedict Cumberbatch, 
Martin Freeman, 
Una Stubbs, 
Rupert Graves
",839029,88.0,675000.0
La cocinera de Castamar,Drama,2021,2021,7.4,"
Set in early 18th-century Madrid, the plot follows the love story between an agoraphobic cook and a widowed nobleman.",TBD,"Michelle Jenner, 
Roberto Enríquez, 
Hugo Silva, 
Maxi Iglesias
",1336,92.0,1360000.0
Queen of the South,Action,2016,2021,8.0,"
Teresa flees Mexico after her drug-runner boyfriend is murdered. Settling in Dallas she looks to become the country's reigning drug smuggler and to avenge her lover's murder.",TBD,"Alice Braga, 
Hemky Madera, 
Peter Gadiot, 
Veronica Falcón
",23318,42.0,33320000.0
CSI: Crime Scene Investigation,Crime,2000,2015,7.6,"
Series following an elite team of police forensic evidence investigation experts as they work their cases in Las Vegas.",TBD,"Laurence Fishburne, 
Marg Helgenberger, 
George Eads, 
Eric Szmanda
",78589,60.0,675000.0
The Umbrella Academy,Action,2019,Ongoing,8.0,"
A family of former child heroes, now grown apart, must reunite to continue to protect the world.",TBD,"Elliot Page, 
Tom Hopper, 
David Castañeda, 
Emmy Raver-Lampman
",175513,60.0,33320000.0
Supergirl,Action,2015,2021,6.2,"
The adventures of Superman's cousin in her own superhero career.",TBD,"Melissa Benoist, 
Chyler Leigh, 
David Harewood, 
Mehcad Brooks
",115373,43.0,33320000.0
BoJack Horseman,Animation,2014,2020,8.7,"
BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.",TBD,"Will Arnett, 
Amy Sedaris, 
Alison Brie, 
Aaron Paul
",124318,25.0,10715000.0
The Lord of the Rings: The Fellowship of the Ring,Action,2001,2001,8.8,"
A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.",Peter Jackson,"Elijah Wood, 
Ian McKellen, 
Orlando Bloom, 
Sean Bean
",1713028,178.0,315540000.0
I Think You Should Leave with Tim Robinson,Comedy,2019,Ongoing,7.8,"
In this new sketch show, Tim Robinson and guests spend each segment driving someone to the point of needing -- or desperately wanting -- to leave.",TBD,"Tim Robinson, 
Sam Richardson, 
Patti Harrison, 
Conner O'Malley
",8095,16.0,855000.0
South Park,Animation,1997,Ongoing,8.7,"
Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.",TBD,"Trey Parker, 
Matt Stone, 
Isaac Hayes, 
Mona Marshall
",340148,22.0,10715000.0
Once Upon a Time,Adventure,2011,2018,7.7,"
A young woman with a troubled past is drawn to a small town in Maine where fairy tales are to be believed.",TBD,"Ginnifer Goodwin, 
Jennifer Morrison, 
Lana Parrilla, 
Robert Carlyle
",212616,60.0,44820000.0
Star Trek: Discovery,Action,2017,Ongoing,7.2,"
Ten years before Kirk, Spock, and the Enterprise, the USS Discovery discovers new worlds and lifeforms as one Starfleet officer learns to understand all things alien.",TBD,"Sonequa Martin-Green, 
Doug Jones, 
Anthony Rapp, 
Mary Wiseman
",101079,60.0,33320000.0
Teen Wolf,Action,2011,2017,7.6,"
An average high school student and his best friend get caught up in some trouble causing him to receive a werewolf bite. As a result they find themselves in the middle of all sorts of dramas in Beacon Hills.",TBD,"Tyler Posey, 
Holland Roden, 
Dylan O'Brien, 
Linden Ashby
",132950,41.0,33320000.0
How to Get Away with Murder,Crime,2014,2020,8.1,"
A group of ambitious law students and their brilliant criminal defense professor become involved in a twisted murder plot that promises to change the course of their lives.",TBD,"Viola Davis, 
Billy Brown, 
Jack Falahee, 
Aja Naomi King
",136135,43.0,675000.0
Star Trek: Deep Space Nine,Action,1993,1999,8.0,"
In the vicinity of the liberated planet of Bajor, the Federation space station Deep Space Nine guards the opening of a stable wormhole to the far side of the galaxy.",TBD,"Avery Brooks, 
Rene Auberjonois, 
Cirroc Lofton, 
Alexander Siddig
",55687,45.0,33320000.0
Seinfeld,Comedy,1989,1998,8.8,"
The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.",TBD,"Jerry Seinfeld, 
Julia Louis-Dreyfus, 
Michael Richards, 
Jason Alexander
",264801,22.0,855000.0
Spartacus: Blood and Sand,Action,2010,2013,8.5,"
The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.",TBD,"Andy Whitfield, 
Lucy Lawless, 
Manu Bennett, 
Daniel Feuerriegel
",228484,55.0,33320000.0
Hawaii Five-0,Action,2010,2020,7.3,"
Steve McGarrett returns home to Oahu in order to find his father's killer; The Governor offers him the chance to run his own task force - Five-0.",TBD,"Alex O'Loughlin, 
Scott Caan, 
Taylor Wily, 
Daniel Dae Kim
",68627,42.0,33320000.0
Good Witch,Comedy,2015,2021,7.3,"
""Good Witch"" will take viewers on a new magical journey with Cassie Nightingale and her daughter Grace. When Dr. Sam Radford moves in next door to Grey House with his son, they are charmed by the 'magical' mother-daughter duo.",TBD,"Catherine Bell, 
Catherine Disher, 
James Denton, 
Kylee Evans
",8268,48.0,855000.0
The Sinner,Crime,2017,Ongoing,7.9,"
Anthology series that examines how and why ordinary people commit brutal crimes.",TBD,"Bill Pullman, 
Dohn Norwood, 
Adam LeFevre, 
Jessica Biel
",96901,45.0,675000.0
Arrested Development,Comedy,2003,2019,8.7,"
Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable.",TBD,"Jason Bateman, 
Michael Cera, 
Portia de Rossi, 
Will Arnett
",284373,22.0,855000.0
Escape Room,Action,2019,2019,6.4,"
Six strangers find themselves in a maze of deadly mystery rooms and must use their wits to survive.",Adam Robitel,"Taylor Russell, 
Logan Miller, 
Jay Ellis, 
Tyler Labine
",99351,99.0,57010000.0
You,Crime,2018,Ongoing,7.7,"
A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.",TBD,"Penn Badgley, 
Victoria Pedretti, 
Ambyr Childers, 
Elizabeth Lail
",157666,45.0,675000.0
Mindhunter,Crime,2017,2019,8.6,"
Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases.",TBD,"Jonathan Groff, 
Holt McCallany, 
Anna Torv, 
Hannah Gross
",235694,60.0,675000.0
Jaws,Adventure,1975,1975,8.0,"
When a killer shark unleashes chaos on a beach community, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",Steven Spielberg,"Roy Scheider, 
Robert Shaw, 
Richard Dreyfuss, 
Lorraine Gary
",558731,124.0,260000000.0
Avatar: The Last Airbender,Animation,2005,2008,9.3,"
In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",TBD,"Dee Bradley Baker, 
Zach Tyler, 
Mae Whitman, 
Jack De Sena
",265845,23.0,10715000.0
The Punisher,Action,2017,2019,8.5,"
After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher,"" with only one goal in mind: to avenge them.",TBD,"Jon Bernthal, 
Amber Rose Revah, 
Ben Barnes, 
Jason R. Moore
",194777,53.0,33320000.0
Star Trek: Voyager,Action,1995,2001,7.8,"
Pulled to the far side of the galaxy, where the Federation is seventy-five years away at maximum warp speed, a Starfleet ship must cooperate with Maquis rebels to find a way home.",TBD,"Kate Mulgrew, 
Robert Beltran, 
Roxann Dawson, 
Robert Duncan McNeill
",61917,44.0,33320000.0
The Departed,Crime,2006,2006,8.5,"
An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.",Martin Scorsese,"Leonardo DiCaprio, 
Matt Damon, 
Jack Nicholson, 
Mark Wahlberg
",1227522,151.0,132380000.0
Narcos,Biography,2015,2017,8.8,"
A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.",TBD,"Pedro Pascal, 
Lizbeth Eden, 
Wagner Moura, 
Boyd Holbrook
",375261,49.0,7000000.0
The Serpent,Crime,2021,2021,7.6,"
The twisting, real-life story of Charles Sobhraj, a murderer, thief and seductive master of disguise, who was a hidden darkness in the mid-70's on Asia's hippie trail.",TBD,"Tahar Rahim, 
Billy Howle, 
Jenna Coleman, 
Ellie Bamber
",33936,58.0,675000.0
Star Wars: The Clone Wars,Animation,2008,2020,8.3,"
Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.",TBD,"Tom Kane, 
Dee Bradley Baker, 
Matt Lanter, 
James Arnold Taylor
",71904,23.0,10715000.0
"Murder, She Wrote",Crime,1984,1996,7.0,"
Professional writer and amateur sleuth Jessica Fletcher uses her intellect, charm, and persistence to get to the bottom of every crime she encounters.",TBD,"Angela Lansbury, 
William Windom, 
Ron Masak, 
Louis Herthum
",20330,50.0,675000.0
Fatherhood,Comedy,2021,2021,6.7,"
A father brings up his baby girl as a single dad after the unexpected death of his wife who died a day after their daughter's birth.",Paul Weitz,"Kevin Hart, 
Alfre Woodard, 
Lil Rel Howery, 
DeWanda Wise
",26508,109.0,855000.0
Blue Bloods,Crime,2010,Ongoing,7.6,"
Revolves around a family of New York cops.",TBD,"Donnie Wahlberg, 
Bridget Moynahan, 
Will Estes, 
Len Cariou
",34064,43.0,675000.0
Heist,Documentary,2021,Ongoing,6.8,"
Millions in stolen cash. Missing luxury bourbon. Watch ordinary people almost get away with these extraordinary heists in this true crime series.",TBD,"William Guirola, 
Megan Barlow, 
Scott Bender, 
Jonny Carlson
",846,41.0,120000.0
The Woman in the Window,Crime,2021,2021,5.7,"
An agoraphobic woman living alone in New York begins spying on her new neighbors, only to witness a disturbing act of violence.",Joe Wright,"Amy Adams, 
Gary Oldman, 
Anthony Mackie, 
Fred Hechinger
",57048,100.0,675000.0
Black Summer,Action,2019,Ongoing,6.5,"
In the dark, early days of a zombie apocalypse, complete strangers band together to find the strength they need to survive and get back to loved ones.",TBD,"Jaime King, 
Justin Chu Cary, 
Christine Lee, 
Zoe Marlett
",25453,40.0,33320000.0
Katla,Drama,2021,Ongoing,7.1,"
One year after the violent eruption of the subglacial volcano Katla, the peace and tranquility in the small town of Vik is dramatically disturbed.",TBD,"Guðrún Ýr Eyfjörð, 
Íris Tanja Flygenring, 
Ingvar Sigurdsson, 
Aliette Opheim
",8391,92.0,1360000.0
Gone Girl,Drama,2014,2014,8.1,"
With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",David Fincher,"Ben Affleck, 
Rosamund Pike, 
Neil Patrick Harris, 
Tyler Perry
",895888,149.0,167770000.0
Jumanji: Welcome to the Jungle,Action,2017,2017,6.9,"
Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.",Jake Kasdan,"Dwayne Johnson, 
Karen Gillan, 
Kevin Hart, 
Jack Black
",337900,119.0,404520000.0
American Psycho,Comedy,2000,2000,7.6,"
A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",Mary Harron,"Christian Bale, 
Justin Theroux, 
Josh Lucas, 
Bill Sage
",517014,101.0,15070000.0
House of Cards,Drama,2013,2018,8.7,"
A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.",TBD,"Kevin Spacey, 
Michel Gill, 
Robin Wright, 
Kate Mara
",476656,51.0,1360000.0
Miraculous: Tales of Ladybug & Cat Noir,Animation,2015,Ongoing,7.7,"
Marinette and Adrien, two normal teens, transform into superheroes Ladybug and Cat Noir when an evil threatens their city.",TBD,"Cristina Valenzuela, 
Bryce Papenbrook, 
Keith Silverstein, 
Mela Lee
",8300,20.0,10715000.0
Mayor Grom: Chumnoy Doktor,Action,2021,2021,6.3,"
Police Major Igor Grom is known throughout St. Petersburg for his penetrative character and irreconcilable attitude towards criminals of all stripes. But everything changes dramatically ...                See full summary »
",Oleg Trofim,"Tikhon Zhiznevskiy, 
Lyubov Aksyonova, 
Sergei Goroshko, 
Aleksey Maklakov
",8466,136.0,33320000.0
Demon Slayer: Kimetsu No Yaiba,Animation,2019,Ongoing,8.7,"
A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister.",TBD,"Natsuki Hanae, 
Zach Aguilar, 
Abby Trott, 
Akari Kitô
",46259,25.0,10715000.0
Jane the Virgin,Comedy,2014,2019,7.8,"
A young, devout Catholic woman discovers that she was accidentally artificially inseminated.",TBD,"Gina Rodriguez, 
Andrea Navedo, 
Yael Grobglas, 
Justin Baldoni
",41758,60.0,855000.0
The Good Wife,Crime,2009,2016,8.3,"
Alicia Florrick (Julianna Margulies) has been a good wife to her husband, a former state's attorney. After a very humiliating sex and corruption scandal, he is behind bars. She must now provide for her family and returns to work as a litigator in a law firm.",TBD,"Julianna Margulies, 
Chris Noth, 
Josh Charles, 
Matt Czuchry
",70021,43.0,675000.0
The Good Place,Comedy,2016,2020,8.2,"
Four people and their otherworldly frienemy struggle in the afterlife to define what it means to be good.",TBD,"Kristen Bell, 
William Jackson Harper, 
Jameela Jamil, 
D'Arcy Carden
",127417,22.0,855000.0
The Americans,Crime,2013,2018,8.4,"
At the height of the Cold War two Russian agents pose as your average American couple, complete with family.",TBD,"Keri Russell, 
Matthew Rhys, 
Keidrich Sellati, 
Holly Taylor
",88962,44.0,675000.0
Glee,Comedy,2009,2015,6.7,"
A group of ambitious misfits try to escape the harsh realities of high school by joining a glee club headed by a passionate Spanish teacher.",TBD,"Lea Michele, 
Jane Lynch, 
Matthew Morrison, 
Cory Monteith
",139934,44.0,855000.0
Bo Burnham: Inside,Comedy,2021,2021,8.7,"
A musical comedy special shot and performed by Bo Burnham, alone, over the course of a very unusual year.",Bo Burnham,"Bo Burnham, 
Socko
",31108,87.0,855000.0
Kill Bill: Vol. 1,Action,2003,2003,8.1,"
After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",Quentin Tarantino,"Uma Thurman, 
David Carradine, 
Daryl Hannah, 
Michael Madsen
",1034554,111.0,70100000.0
Bartkowiak,Action,2021,2021,5.0,"
After his brother dies in a car crash, a disgraced MMA fighter takes over the family nightclub and soon learns his sibling's death wasn't an accident.",Daniel Markowicz,"Józef Pawlowski, 
Zofia Domalik, 
Szymon Bobrowski, 
Bartlomiej Topa
",398,91.0,33320000.0
